Master Record Number,Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
902215630,2014,4,5,Weekday,1100,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,SR37 & W TAPP,39.13676894,-86.57289398
902355488,2014,12,3,Weekday,1200,2-Car,No injury/unknown,IMPROPER PASSING,REX GROSSMAN & W TAPP,39.13674004,-86.57087021
902351996,2014,12,5,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,WINSLOW,39.136736,-86.523968
902285356,2014,8,1,Weekend,1300,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,REX GROSSMAN & W TAPP RD,39.13673401,-86.5709151
902215569,2014,4,5,Weekday,1000,2-Car,No injury/unknown,UNSAFE BACKING,S WINSLOW CT,39.13672219,-86.52395511
902183276,2014,2,4,Weekday,1900,2-Car,No injury/unknown,UNSAFE BACKING,S WINSLOW CT,39.13670837,-86.52394221
902231854,2014,5,2,Weekday,1400,1-Car,Non-incapacitating,DRIVER ASLEEP OR FATIGUED,DEBORAH & TAPP RD,39.13666025,-86.56784863
902232789,2014,5,4,Weekday,1200,2-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,CURRY PIKE & JONATHAN,39.13663356,-86.5829797
902200313,2014,3,2,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,ADAMS & TAPP RD,39.13662001,-86.55431024
902287293,2014,8,3,Weekday,2100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,ADAMS & TAPP RD,39.13662001,-86.55431024
902297428,2014,9,2,Weekday,1600,Bus,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,ADAMS & TAPP RD,39.13662001,-86.55431024
902348517,2014,12,6,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,EAST WINSLOW,39.13657379,-86.53004456
902347780,2014,12,4,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & TAPP,39.13652039,-86.55490112
902361558,2014,12,1,Weekend,1300,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,S WEIMER & TAPP,39.136512,-86.562016
902207520,2014,3,2,Weekday,1200,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S ROCKPORT & TAPP RD,39.136448,-86.548704
902257502,2014,6,1,Weekend,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COUNTRY CLUB DR & ROCKPORT,39.136448,-86.548704
902272277,2014,7,3,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ROCKPORT & TAPP RD,39.136448,-86.548704
902277847,2014,8,7,Weekend,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROCKPORT RD & W TAPP,39.136448,-86.548704
902295274,2014,9,5,Weekday,1700,3+ Cars,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,W COUNTRYSIDE LN,39.136448,-86.548704
902189789,2014,2,5,Weekday,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COUNTRY CLUB DR & ROCKPORT,39.136411,-86.54764705
902313050,2014,10,2,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,EAST WINSLOW RD,39.136391,-86.527824
902262639,2014,7,4,Weekday,1500,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E ROGERS ST & WINDINGBROOK,39.136368,-86.505056
902301250,2014,9,2,Weekday,1700,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,BANTA & COUNTRY CLUB DR,39.13636571,-86.54635358
902247830,2014,6,4,Weekday,1100,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,1000 BLK W COUNTRY CLUB DR & ROCKPORT,39.13636165,-86.54623778
902243609,2014,6,3,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,HENDERSON ST & WINSLOW,39.13634996,-86.5267951
902336158,2014,11,2,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ROCKPORT & TAPP,39.13634978,-86.54875003
902288648,2014,8,6,Weekend,1900,2-Car,Incapacitating,DISREGARD SIGNAL/REG SIGN,COUNTRY CLUB RD & ROCKPORT,39.13634978,-86.54875002
902321381,2014,10,1,Weekend,1700,2-Car,Incapacitating,FOLLOWING TOO CLOSELY,BANTA & COUNTRY CLUB,39.13634103,-86.54564895
902277127,2014,8,5,Weekday,1300,2-Car,No injury/unknown,LEFT OF CENTER,S BANTA & W COUNTRY CLUB DR,39.136304,-86.544592
902281651,2014,8,7,Weekend,1900,3+ Cars,Non-incapacitating,FOLLOWING TOO CLOSELY,BANTA & COUNTRY CLUB DR,39.136304,-86.544592
902293649,2014,9,2,Weekday,1600,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,BANTA & COUNTRY CLUB DR,39.136304,-86.544592
902316637,2014,10,7,Weekend,2100,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,BANTA & COUNTRY CLUB,39.13629254,-86.54423964
902196042,2014,3,2,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S BANTA & W COUNTRY CLUB DR,39.13624987,-86.54482997
902221936,2014,4,3,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COUNTRY CLUB DR & MILTON,39.13615095,-86.53988873
902249759,2014,6,1,Weekend,1000,Moped/Motorcycle,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,HENDERSON & WINSLOW RD,39.136144,-86.52644733
902179059,2014,2,6,Weekday,1100,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,FAIRINGTON & LEONARD SPRINGS RD,39.136144,-86.582496
902159143,2014,1,3,Weekday,700,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,WALNUT ST & WINSLOW RD,39.136144,-86.528688
902204920,2014,3,3,Weekday,800,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,WALNUT ST & WINSLOW RD,39.136144,-86.528688
902206089,2014,3,5,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST WINSLOW & SOUTH WALNUT ST,39.136144,-86.528688
902252816,2014,6,6,Weekday,1500,2-Car,No injury/unknown,IMPROPER PASSING,E WINSLOW RD & S WALNUT,39.136144,-86.528688
902253610,2014,6,1,Weekday,2000,Pedestrian,Non-incapacitating,RAN OFF ROAD RIGHT,WALNUT STREET PIKE & WINSLOW,39.136144,-86.528688
902272348,2014,7,3,Weekday,1300,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,E WINSLOW RD & SOUTH WALNUT,39.136144,-86.528688
902276393,2014,8,2,Weekday,2000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW & S WALNUT ST,39.136144,-86.528688
902305429,2014,9,3,Weekday,1100,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,SOUTH WALNUT ST & WINSLOW,39.136144,-86.528688
902310981,2014,10,4,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,WALNUT ST & WINSLOW,39.136144,-86.528688
902319038,2014,10,4,Weekday,900,2-Car,No injury/unknown,OTHER TELEMATICS IN USE,E WINSLOW & S WALNUT,39.136144,-86.528688
902320637,2014,10,6,Weekday,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,WALNUT & WINSLOW,39.136144,-86.528688
902353779,2014,12,1,Weekend,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E WINSLOW & S WALNUT STREET,39.136144,-86.528688
902326900,2014,11,2,Weekday,1400,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,WALNUT & WINSLOW,39.136144,-86.528688
902328932,2014,11,5,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,WALNUT & WINSLOW,39.136144,-86.528688
902344332,2014,11,7,Weekend,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,WALNUT & WINSLOW,39.136144,-86.528688
902344712,2014,11,7,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,WALNUT STREET & WINSLOW,39.136144,-86.528688
902353014,2014,12,6,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW & S WALNUT,39.136144,-86.528688
902231786,2014,5,2,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,HENDERSON ST & WINSLOW,39.136144,-86.5268
902259015,2014,7,4,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW RD & S HENDERSON,39.136144,-86.5268
902293726,2014,9,2,Weekday,1400,1-Car,No injury/unknown,IMPROPER TURNING,E WINSLOW RD & S HENDERSON,39.136144,-86.5268
902335595,2014,11,1,Weekend,1700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,HENDERSON & WINSLOW,39.136144,-86.5268
902197040,2014,3,3,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,E WINSLOW RD,39.136144,-86.525776
902249651,2014,6,7,Weekend,2300,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BURBERRY & WINSLOW RD,39.136144,-86.52296
902291198,2014,9,4,Weekday,1600,Bus,No injury/unknown,UNSAFE BACKING,E WINSLOW & S BURBERRY LN,39.136144,-86.52296
902150326,2014,1,5,Weekday,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,WESTMINSTER WAY & WINSLOW,39.136144,-86.521888
902227081,2014,5,7,Weekend,1000,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S WALNUT & WINSLOW RD,39.13613411,-86.52798283
902255580,2014,6,5,Weekday,900,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,WALNUT & WINSLOW RD,39.13613411,-86.52798283
902272915,2014,7,4,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COUNTRY CLUB DR & MILTON,39.136128,-86.539184
902285353,2014,8,1,Weekend,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LEONARD SPRINGS & SR45E,39.1361084,-86.58261108
902241760,2014,5,6,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROGERS & W COUNTRY CLUB DR,39.13608,-86.538096
902252880,2014,6,6,Weekend,2100,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,COUNTRY CLUB & ROGERS ST,39.13608,-86.538096
902273019,2014,7,4,Weekday,1600,3+ Cars,Non-incapacitating,FOLLOWING TOO CLOSELY,S ROGERS ST & W COUNTRY CLUB,39.13608,-86.538096
902273978,2014,8,6,Weekday,1300,2-Car,No injury/unknown,CELL PHONE USAGE,COUNTRY CLUB DR & ROGERS,39.13608,-86.538096
902357182,2014,12,5,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COUNTRY CLUB & ROGERS,39.13608,-86.538096
902341134,2014,11,1,Weekend,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S ROGERS & W COUNTRY CLUB,39.13608,-86.538096
902348613,2014,12,7,Weekend,800,2-Car,No injury/unknown,LEFT OF CENTER,S ROGERS & W COUNTRY CLUB,39.13608,-86.538096
902352546,2014,12,6,Weekday,1000,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,COUNTRY CLUB & ROGERS,39.13608,-86.538096
902226612,2014,5,6,Weekday,1000,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E WINSLOW RD,39.13608,-86.529792
902214221,2014,4,2,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SOUTH MADISON & WEST COUNTRY CLUB RD,39.136048,-86.536992
902282236,2014,8,2,Weekday,1100,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,COUNTRY CLUB DR & MADISON,39.136048,-86.536992
902309229,2014,10,3,Weekday,0,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,HIGHLAND & WINSLOW RD,39.136048,-86.518496
902311502,2014,10,6,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW RD & S HIGHLAND,39.136048,-86.518496
902169359,2014,1,6,Weekday,1400,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,COUNTRY CLUB & SOUTH RODGERS RD,39.13603999,-86.53826996
902342253,2014,11,3,Weekday,700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,HENDERSON & WINSLOW,39.13603999,-86.52687997
902224665,2014,4,2,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COUNTRY CLUB DR & MADISON,39.13603092,-86.53664001
902202906,2014,3,5,Weekday,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,DUNCAN & SR45W,39.13602845,-86.5949745
902215886,2014,4,5,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,MADISON & W COUNTRY CLUB RD,39.13600981,-86.53712343
902314809,2014,10,4,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,PICCADILLY & WINSLOW,39.13599975,-86.52448006
902238059,2014,5,7,Weekend,700,2-Car,Non-incapacitating,IMPROPER TURNING,ACADIA & WINSLOW RD,39.13599975,-86.51902981
902181827,2014,2,3,Weekday,600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,WALNUT STREET & WINSLOW RD,39.1359897,-86.52879976
902205395,2014,3,4,Weekday,1000,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,WALNUT ST & WINSLOW RD,39.1359897,-86.52879975
902240294,2014,5,3,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,WALNUT STREET & WINSLOW RD,39.1359897,-86.52879975
902338431,2014,11,2,Weekday,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,100 E WINSLOW & S WALNUT,39.13597209,-86.53111957
902331311,2014,11,2,Weekday,1600,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,S WALNUT & WINSLOW,39.13597025,-86.53110981
902338784,2014,11,4,Weekday,1500,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,WALNUT & WINSLOW,39.13597025,-86.53110981
902215981,2014,4,5,Weekday,1300,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,E WINSLOW & S WALNUT ST,39.13597025,-86.5311098
902224397,2014,4,2,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COUNTRY CLUB & S WALNUT ST,39.13597025,-86.5311098
902321688,2014,10,2,Weekday,800,Cyclist,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,WALNUT & WINLSOW,39.13597025,-86.5311098
902280318,2014,8,5,Weekday,800,Pedestrian,Non-incapacitating,PEDESTRIAN ACTION,COUNTRY CLUB & WALNUT ST,39.13597025,-86.5311098
902290122,2014,9,3,Weekday,800,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,COUNTRY CLUB DR & S WALNUT,39.13597025,-86.5311098
902306003,2014,10,4,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT ST & W COUNTRY SLUB,39.13597025,-86.5311098
902270461,2014,7,6,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COUNTRY CLUB DR & WALNUT,39.13597025,-86.53110115
902352062,2014,12,5,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,ROGERS & SARE,39.13595475,-86.49653651
902303870,2014,9,6,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,FARINGTON & LEONARD SPRINGS RD,39.13588978,-86.58261023
902199528,2014,3,1,Weekend,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROGERS RD & S SARE,39.13584,-86.496288
902246982,2014,6,3,Weekday,200,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,ROGERS RD & SMITH,39.1358349,-86.4812013
902364173,2014,12,4,Weekday,1700,2-Car,No injury/unknown,LEFT OF CENTER,E ROGERS & S HIGHPOINT,39.135808,-86.484912
902363307,2014,12,4,Weekday,2300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,ROGERS & SNODDY,39.13579993,-86.48963012
902162866,2014,1,6,Weekday,700,1-Car,No injury/unknown,OVERCORRECTING/OVERSTEERING,ROGERS RD & SMITH,39.13579885,-86.48578574
902165341,2014,1,2,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,WEST COTA DR,39.13568191,-86.56878881
902312076,2014,10,2,Weekday,1700,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,SR37S & TAPP,39.13566671,-86.572896
902160351,2014,1,4,Weekday,1300,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,INVERNESS WOODS & KNIGHTSRIDGE RDS,39.135648,-86.462496
902238707,2014,5,1,Weekday,2200,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SOUTH STATE ROAD 446 RD,39.135648,-86.462248
902294295,2014,9,2,Weekday,0,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,446 & KNIGHT RIDGE RD,39.135648,-86.462
902311092,2014,10,3,Weekday,2300,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,FAIRINGTON DR,39.13562393,-86.57837677
902322928,2014,10,3,Weekday,1600,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,S WALNUT & W COUNTRY CLUB,39.13531988,-86.5277195
902208578,2014,3,3,Weekday,2200,2-Car,No injury/unknown,LEFT OF CENTER,S LEONARD SPRINGS RD & WEST BARGE,39.135248,-86.582496
902259013,2014,7,4,Weekday,1700,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,2910 SOUTH LEONARD SPRINGS RD & BARGE,39.135248,-86.582496
902192649,2014,2,3,Weekday,1700,3+ Cars,No injury/unknown,UNSAFE SPEED,S DUNCAN & SR45W,39.13504,-86.596192
902259030,2014,7,3,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,DUNCAN & SR45W,39.13504,-86.596192
902323953,2014,10,5,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,S WALNUT,39.13493114,-86.52778394
902302904,2014,9,4,Weekday,1400,2-Car,No injury/unknown,UNSAFE BACKING,SOUTH WALNUT ST,39.13493114,-86.52778394
902294410,2014,9,2,Weekday,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,INDIAN CREEK & YONKERS ST,39.13480833,-86.57432706
902280160,2014,8,4,Weekday,1700,3+ Cars,Incapacitating,FOLLOWING TOO CLOSELY,SR37S & TAPP,39.13429342,-86.572896
902258409,2014,7,3,Weekday,1900,Moped/Motorcycle,Incapacitating,UNSAFE SPEED,ROCKPORT RD & TAPP,39.13426528,-86.55084379
902347085,2014,12,4,Weekday,1500,2-Car,No injury/unknown,IMPROPER TURNING,S MCINTIRE,39.13425827,-86.57065582
902320236,2014,10,6,Weekday,800,2-Car,No injury/unknown,UNSAFE BACKING,SOUTH HENDERSON & SOUTH WALNUT STREET,39.13412941,-86.52686329
902222840,2014,4,4,Weekday,1300,1-Car,Incapacitating,RAN OFF ROAD RIGHT,DUNCAN & SR45W,39.13411967,-86.59750076
902357894,2014,12,7,Weekend,1100,2-Car,No injury/unknown,UNSAFE SPEED,AIRPORT & SR45,39.1340255,-86.59763467
902354501,2014,12,2,Weekday,1800,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BUNGER & SR45W,39.13391113,-86.60557329
902245418,2014,5,4,Weekday,2300,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,S LEONARD SPRINGS RD,39.133808,-86.58258358
902353662,2014,12,7,Weekend,1600,2-Car,No injury/unknown,UNSAFE BACKING,ROLLING RIDGE,39.133744,-86.50592
902359975,2014,12,7,Weekend,800,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,HOFF & W GARDNER,39.133376,-86.648848
902362131,2014,12,7,Weekend,800,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,HOFF & W GARDNER,39.133376,-86.648848
902278969,2014,8,2,Weekday,1300,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,COUNTRY CLUB & ROGERS ST,39.13304,-86.5384
902337833,2014,11,3,Weekday,1500,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,COUNTRY CLUB & ROGERS,39.13304,-86.5384
902158525,2014,1,2,Weekday,1100,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,EAST DRIVE SHERWOOD OAKS CHURC & SARE RD,39.13296474,-86.49876237
902260923,2014,6,2,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & TAPP,39.13292012,-86.572896
902263726,2014,7,6,Weekday,1800,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,S LIBERTY DR & W 3RD,39.13288687,-86.57913006
902322839,2014,10,3,Weekday,1500,Bus,No injury/unknown,IMPROPER PASSING,3RD & LIBERTY,39.13288687,-86.57913006
902298351,2014,9,4,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COMMONS & WESTMINSTER DR,39.132688,-86.52144
902223245,2014,4,5,Weekday,1000,2-Car,No injury/unknown,UNSAFE BACKING,3RD & HAWTHORNE AVE,39.13252708,-86.52008995
902317947,2014,10,7,Weekend,1200,2-Car,No injury/unknown,,SOUTH PARK RIDGE,39.132096,-86.531072
902301784,2014,9,3,Weekday,2100,Moped/Motorcycle,Non-incapacitating,RAN OFF ROAD RIGHT,S ROGERS ST & W FAIRWAY,39.13192011,-86.53851002
902298078,2014,9,3,Weekday,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,BEACH & DAPHNE DR,39.13187198,-86.60368032
902199460,2014,3,7,Weekend,1000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,S OAK RIDGE & SR446S,39.13166281,-86.44815467
902260472,2014,7,5,Weekday,2200,Moped/Motorcycle,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,CEDAR CHASE & LEONARD SPRINGS RD,39.131648,-86.582496
902345164,2014,12,2,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,CEDAR CHASE & LEONARD SPRINGS,39.131648,-86.582496
902224595,2014,4,5,Weekday,2100,2-Car,No injury/unknown,UNSAFE BACKING,MARKET & MAYBERRY MALL RD,39.131648,-86.5808
902298057,2014,9,2,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S SWARTZ RIDGE RD & SR446S,39.1316,-86.447968
902303944,2014,9,6,Weekday,1400,1-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,SR37 & TAPP,39.13154683,-86.572896
902201034,2014,3,3,Weekday,2000,Bus,No injury/unknown,UNSAFE LANE MOVEMENT,W GORDON PIKE,39.13152,-86.677664
902285265,2014,8,1,Weekday,2200,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST GARDNER RD,39.13152,-86.677664
901280164,2014,9,4,Weekday,2100,3+ Cars,No injury/unknown,UNSAFE BACKING,MAYBURY MALL RD,39.13146481,-86.58125004
902179307,2014,2,6,Weekday,1100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,DUNSTAN & E ALLENDALE DR,39.13144,-86.516688
902308093,2014,10,7,Weekend,2200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,GREEN RD & ROGERS,39.13112015,-86.53855025
902363195,2014,12,4,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S OAKLAWN,39.13105011,-86.5005722
902270244,2014,7,5,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ALLENDALE & WALNUT ST PIKE,39.130944,-86.526688
902285318,2014,8,1,Weekend,1000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,S BAINBRIDGE DR,39.13076637,-86.51974465
902187789,2014,2,2,Weekday,1600,1-Car,No injury/unknown,HOLES/RUTS IN SURFACE,S LIBERTY DR & W CONSTITUTION,39.13006024,-86.57687221
902189633,2014,2,3,Weekday,1500,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,LOIS LN & S ROGERS,39.12984,-86.538496
902176057,2014,2,3,Weekday,100,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OAKLAWN CT,39.12961578,-86.50189208
902203790,2014,3,7,Weekend,1000,2-Car,No injury/unknown,UNSAFE BACKING,S OLD SR 37 RD & S ORHCARD LANE,39.12949229,-86.53130024
902323996,2014,10,3,Weekday,1800,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,BUNGER & SR45,39.12949215,-86.60413311
902224705,2014,4,2,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,S ROGERS ST & W HILLSIDE,39.12942888,-86.53876014
902232329,2014,5,3,Weekday,800,2-Car,No injury/unknown,IMPROPER TURNING,S KNIGHTRIDGE RD,39.12939835,-86.44329071
902266818,2014,7,5,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BUNGER & SR45S,39.12936,-86.604336
902316353,2014,10,6,Weekday,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR45W & W BUNGER,39.12936,-86.604336
902317832,2014,10,2,Weekday,1600,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,S BUNGER & SR45W,39.12936,-86.604336
902327650,2014,11,4,Weekday,500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BUNGER & SR45W,39.12936,-86.604336
902210162,2014,3,7,Weekend,1500,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,ELWREN RD,39.12905133,-86.6612091
902230285,2014,5,4,Weekday,2000,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,BUNGER & SR45W,39.12900841,-86.60487788
902205348,2014,3,3,Weekday,1300,1-Car,Incapacitating,RAN OFF ROAD RIGHT,S FAIRFAX RD & S MCCORMICK,39.12842232,-86.50779001
902207885,2014,3,2,Weekday,2200,1-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,LEONARD SPRINGS RD & WOODHAVEN,39.128368,-86.58256
902328689,2014,11,5,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LEONARD SRPINGS & WOODHAVEN,39.128368,-86.58256
902171976,2014,1,2,Weekday,1100,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E CREEKS EDGE DR,39.12821665,-86.50074921
902154500,2014,1,3,Weekday,1700,2-Car,No injury/unknown,IMPROPER TURNING,WALNUT STREET PIKE,39.12806578,-86.52683369
902312977,2014,10,2,Weekday,900,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,SR45W & W ISON,39.128,-86.606432
902199407,2014,3,7,Weekend,2300,1-Car,Non-incapacitating,DRIVER ASLEEP OR FATIGUED,1625 HENESSY ST & MCDOUGAL,39.12790757,-86.55618934
902223835,2014,4,7,Weekend,2100,Moped/Motorcycle,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,HWY 45 RD & ISON,39.12787971,-86.60651207
